city,R2,RMSE,RRMSE,MAE,MSE,year,temporal (%),spatial (%)
aizawl,0.5,3.13,0.33,2.13,16.24,2021.0,47.06,52.94
bhopal,0.78,4.81,0.53,3.11,28.38,2021.0,45.15,54.85
bhubaneswar,0.71,6.99,0.23,4.93,48.9,2021.0,35.58,64.41
chandigarh,0.63,4.76,0.5,3.16,30.04,2021.0,46.96,53.04
chennai,0.76,5.04,0.44,3.13,28.86,2021.0,43.01,56.99
coimbatore,0.56,3.96,0.42,2.72,23.64,2021.0,47.42,52.58
erode,0.63,4.02,0.42,2.79,24.24,2021.0,40.06,59.94
faridabad,0.7,5.11,0.62,2.97,29.28,2021.0,36.9,63.1
gangtok,0.4,3.14,0.37,2.19,14.46,2021.0,59.5,40.49
guwahati,0.74,4.53,0.47,3.0,25.05,2021.0,45.78,54.22
hubli dharwad,0.64,4.35,0.42,3.01,27.87,2021.0,34.68,65.32
hyderabad,0.63,4.24,0.49,2.83,25.01,2021.0,47.58,52.42
imphal,0.7,7.21,0.22,5.18,51.94,2021.0,44.04,55.96
indore,0.69,6.91,0.25,4.81,47.81,2021.0,36.73,63.27
jaipur,0.77,2.21,0.7,1.21,4.87,2021.0,55.95,44.05
kanpur,0.63,4.42,0.53,2.91,25.3,2021.0,36.78,63.22
kochi,0.61,4.46,0.42,3.11,29.41,2021.0,49.37,50.63
kohima,0.39,3.47,0.34,2.45,18.39,2021.0,49.34,50.66
kolkata,0.66,4.39,0.48,2.81,23.4,2021.0,45.7,54.3
lucknow,0.7,7.2,0.27,5.02,51.8,2021.0,,
madurai,0.57,4.12,0.41,2.85,24.68,2021.0,40.13,59.87
mangaluru,0.66,5.08,0.64,3.07,29.64,2021.0,44.6,55.4
mysuru,0.63,4.53,0.56,2.95,28.56,2021.0,41.56,58.44
patna,0.72,5.54,0.45,3.67,35.18,2021.0,44.37,55.63
pune,0.68,3.99,0.46,2.62,19.57,2021.0,36.82,63.18
ranchi,0.55,4.05,0.43,2.76,24.67,2021.0,47.95,52.05
rourkela,0.6,4.44,0.47,3.01,27.63,2021.0,37.68,62.32
shilong,0.48,3.72,0.4,2.58,21.46,2021.0,50.07,49.93
shivamogga,0.62,4.41,0.44,3.04,30.1,2021.0,46.12,53.88
surat,0.64,3.5,0.57,2.24,17.9,2021.0,46.55,53.45
tiruchirappalli,0.75,7.77,0.23,5.38,60.37,2021.0,27.79,72.21
tiruppur,0.58,3.71,0.38,2.6,21.28,2021.0,44.31,55.69
vadodara,0.79,4.46,0.46,2.87,23.74,2021.0,34.62,65.38
varanashi,0.6,4.89,0.42,3.34,29.72,2021.0,46.76,53.24
vijaywada,0.75,5.66,0.38,3.69,34.71,2021.0,,
