fc,co2_total,co2_total_ff,co2_congestion_total,year,city
1,960.4392964140388,863.6946154522182,96.74468096182066,2021,agartala
2,194.9050298992501,167.99584548798714,26.909184411262977,2021,agartala
3,1090.5830299997938,976.1240149831923,114.45901501660133,2021,agartala
4,1811.2294752946434,1659.5770915430553,151.65238375158822,2021,agartala
5,27900.182050384385,26831.011987236936,1069.1700631474475,2021,agartala
1,1352.528609475699,1131.3616419103507,221.1669675653483,2022,agartala
2,243.26941504812822,200.55701741577997,42.71239763234828,2022,agartala
3,1479.9780853156426,1243.582406840563,236.39567847507965,2022,agartala
4,2004.431596665243,1724.881141649301,279.550455015942,2022,agartala
5,29338.586629346846,27144.178178388793,2194.4084509580507,2022,agartala
1,1714.3578946441667,1487.7798671447908,226.5780274993758,2023,agartala
2,297.046740327973,256.82670162225907,40.22003870571391,2023,agartala
3,1901.7343344812136,1621.0624187638405,280.67191571737305,2023,agartala
4,2415.3125501217914,2114.432663508373,300.87988661341825,2023,agartala
5,34943.49808352904,33480.0513158804,1463.446767648637,2023,agartala
1,8954.752889100451,8100.033802028939,854.7190870715115,2021,agra
2,2703.6848234324975,2324.514208988023,379.17061444447495,2021,agra
3,4363.3391766525165,3823.9040466685306,539.4351299839858,2021,agra
4,7415.032251318165,6740.230109883174,674.8021414349915,2021,agra
5,114523.41237085362,111305.83970330172,3217.5726675519013,2021,agra
1,12768.755390414673,11584.181941758792,1184.5734486558815,2022,agra
2,3109.069074429743,2629.0592385289706,480.00983590077226,2022,agra
3,5644.706393468341,4915.910816014132,728.7955774542086,2022,agra
4,8048.485539538964,7219.903400775994,828.5821387629704,2022,agra
5,102726.14394939916,99640.43225718956,3085.7116922096016,2022,agra
1,13829.423480212596,12252.89266572169,1576.530814490905,2023,agra
2,4194.058190080548,3486.4965423039125,707.5616477766356,2023,agra
3,7661.775128586644,6473.396817083519,1188.3783115031258,2023,agra
4,9727.203229147555,8634.897937784612,1092.3052913629438,2023,agra
5,114882.07069998716,111255.49496941036,3626.5757305767997,2023,agra
1,28007.199942124906,26174.095007205044,1833.1049349198631,2021,ahmedabad
2,32542.785309084855,29768.776602237718,2774.008706847137,2021,ahmedabad
