city,minor_major_ratio,population_2020
agartala,4.245498652476371,649084
agra,1.6396470214872032,2149488
ahmedabad,1.8829085332586522,7328758
aizawl,6.426569967629951,369817
aligarh,4.3240304196417565,1104851
allahabad,2.3892382487091264,1817716
alwar,4.95907969442136,493909
amravati,3.263095014488663,768014
amritsar,2.622796480159309,1230831
aurangabad,2.101070048684193,1525430
bareilly,2.8415871530320924,1253030
bengaluru,1.103839525282213,11921933
bhilainagar,3.1249749859837594,726401
bhopal,2.024328602530633,2472358
bhubaneswar,1.5280080279393062,1052752
chandigarh,1.501876060353704,837443
chennai,0.47939220493402496,7251320
coimbatore,1.0726597336999373,1643565
cuttack,1.6597587307840167,873878
dehradun,1.73484944402082,774964
delhi,1.2362936096552213,20739711
dewas,1.9892367492614604,359067
dhanbad,3.610449704442793,1780417
durgapur,5.096823881295832,343555
erode,2.1870770790806833,547313
faridabad,1.1342000340866252,1947869
firozabad,9.778276363564201,797577
gangtok,1.4438816621590773,133226
gaya,2.4056711469264265,668150
ghaziabad,1.415552472696544,2459267
guntur,2.615389051075974,782423
gurgaon,0.5646718687885571,1178886
guwahati,1.9108462634856456,1230661
gwalior,2.165618422693171,1582286
haldia,7.027773086436954,382411
hubli dharwad,4.459143424438972,1119578
hyderabad,1.4988700648553153,7053177
imphal,3.86506408777724,258332
indore,1.4757833716846371,2995123
itanagar,1.7572201121558177,110478
jabalpur,3.9139931514498185,1291012
jaipur,1.1873292563529967,3596643
jalandhar,2.553291450890921,1199256
jalgaon,3.4984992569822353,713144
jalpaiguri,7.586749967441287,488734
jammu,3.2335916083060114,1006416
jamshedpur,2.407725075114144,1617730
jhansi,3.448342740032336,736260
jodhpur,3.067417431460061,1105474
kanpur,2.2428338461670942,3463756
kochi,1.7894383463995527,897318
kohima,4.038139008992758,112729
kolhapur,2.3385526349800685,614060
kolkata,2.3637590441398277,6560623
korba,2.932720614672899,492230
kota,4.046325110035176,1283752
kurnool,3.3943006302468017,440969
lucknow,2.1903344044149,3728327
ludhiana,1.6452766665989906,1871171
madurai,2.44724584145349,1851760
mangaluru,1.0241483972319159,736688
meerut,2.309962586193597,1733161
moradabad,1.9305844347591328,1430782
mumbai,0.5727909306559106,14293546
muzaffarpur,1.920477012637084,563018
mysuru,4.320440111361876,1001421
nagpur,1.8023625337078484,2649651
nalgonda,3.913451612146766,203225
nashik,1.5755202691631365,1867656
nellore,3.233949449343827,690486
noida,1.127638216505036,1321650
panaji,1.2122317925992563,120143
patiala,2.661179499823887,764662
patna,0.9566280249554362,2456695
pune,1.0779916318660845,4685469
raipur,1.7740869800105055,1246543
rajkot,2.4672879486659696,1327869
ranchi,2.511543299105859,1578790
rourkela,3.7069864320756336,300430
sagar,2.4812584133432884,388591
sangli-miraj-kupwad,3.8914199777583613,661229
shilong,8.92070936451815,191737
shimla,1.368623824853765,208290
shivamogga,4.871277285060517,419256
silchar,5.2188225242269795,513169
siliguri,2.7486272358698844,320439
solapur,1.7806434232710004,1120562
srinagar,2.100619164029299,1351715
surat,2.742955632604525,4946274
thiruvananthapuram,2.7519281812128185,2178452
thoothukkudi,3.8433882243433706,408570
tiruchirappalli,2.2603889749649917,1153287
tiruppur,2.19915196968886,835750
udaipur,2.3043311504845603,526889
ujjain,3.134189220225559,606282
vadodara,2.4134756695488595,1963378
varanashi,2.6247034077673415,1971210
vijaywada,0.8495216577783807,1065140
vishakhapatnam,2.3586758845822935,2188703
warangal,4.931904290793808,926825
