city,population_2020,state,population_state,GDP_2020(billion USD),urban_area_km2,oe,vkt_public_transport
agartala,649084,TRIPURA,4171328,4.810943488,97.4924006921303,3.388718898783244,34989762.696263395
agra,2149488,UTTAR PRADESH,232192037,6.215020032,168.516008253565,3.453155089278717,79387499.99999999
ahmedabad,7328758,GUJARAT,70846459,125.023608832,521.8538983678379,3.4437417055818145,156945675.96801347
aizawl,369817,MIZORAM,1353442,2.378940928,122.85996752466095,3.576106787281274,31753721.886468567
aligarh,1104851,UTTAR PRADESH,232192037,3.375762176,46.31772562084092,3.4748606647258526,83037500.0
allahabad,1817716,UTTAR PRADESH,232192037,5.941533184,114.4977119662711,3.3631035126882245,71722500.0
alwar,493909,RAJASTHAN,80579763,2.035854208,53.75832610297224,3.2545615094050198,51018931.31865224
amravati,768014,MAHARASHTRA,126536129,4.783886336,142.36679882376762,3.4191730872215547,1338333.3333333333
amritsar,1230831,PUNJAB,31255959,6.642479616,177.5961812471855,3.507335803461749,32528507.763377808
aurangabad,1525430,MAHARASHTRA,126536129,9.302564864,203.9739471008882,3.3198955251336524,52695393.25740802
bareilly,1253030,UTTAR PRADESH,232192037,3.078820864,125.48427321445139,3.3836705266706937,85775000.0
bengaluru,11921933,KARNATAKA,70511891,207.474245632,753.0510031615058,3.3067727290073328,356331249.99999994
bhilainagar,726401,CHHATTISGARH,29680526,3.0801536,98.5201808446225,3.3270391002557,36529608.500706345
bhopal,2472358,MADHYA PRADESH,84567635,24.98179072,487.98083607452475,3.4865262448244585,42856855.94618039
bhubaneswar,1052752,ODISHA,46690946,3.273826304,167.7942216533447,3.4578606325481105,32599904.435768746
chandigarh,837443,CHANDIGARH,858258,12.626184192,146.84866909801644,2.891678113909342,42715423.76660935
chennai,7251320,TAMIL NADU,81532082,127.242346496,460.76890466222136,3.1291330626187226,235425000.0
coimbatore,1643565,TAMIL NADU,81532082,14.723796992,271.67731206427646,3.1554722988481307,46966689.29148436
cuttack,873878,ODISHA,46690946,2.699742464,159.06899914542802,3.471657385808431,34154023.73721765
dehradun,774964,UTTARAKHAND,11641767,6.314616832,96.29044943043627,3.367985731436536,37862927.9859548
delhi,20739711,DELHI,20697237,325.424054272,1934.7883297239812,3.4109017935452743,215106666.6666667
dewas,359067,MADHYA PRADESH,84567635,1.25475392,113.7589835012047,3.43376625999282,48365785.75440232
dhanbad,1780417,JHARKHAND,39247441,15.0685184,267.0202038153214,3.535479711308973,37217821.16954606
durgapur,343555,WEST BENGAL,100644486,1.339282944,183.60000198070375,3.465959346767423,47867329.69975062
erode,547313,TAMIL NADU,81532082,4.001175552,111.02432336171135,3.454465672399546,50531090.8230318
faridabad,1947869,HARYANA,29257842,48.418643968,252.69656378632254,2.896506135331751,92028345.09359376
firozabad,797577,UTTAR PRADESH,232192037,2.031214208,43.60860519247919,3.2454030791909214,80797246.00342402
gangtok,133226,SIKKIM,664828,1.95593728,24.48571279722865,3.5373816955992528,39562539.44022813
gaya,668150,BIHAR,125238091,1.025866624,60.270757017404044,3.2053400818225444,56498810.112427205
ghaziabad,2459267,UTTAR PRADESH,232192037,15.608086528,233.68452842528723,3.5253392247259216,126472500.0
guntur,782423,ANDHRA PRADESH,53387780,6.7943296,60.53239960425339,3.091456647320564,49775714.55049339
gurgaon,1178886,HARYANA,29257842,24.97335296,269.06123345746147,3.413956831034177,58947783.75074261
guwahati,1230661,ASSAM,35170839,10.311525376,220.31695695343623,3.4464593057728736,37133854.972460434
gwalior,1582286,MADHYA PRADESH,84567635,9.632442368,521.7241689089307,3.516911734430344,24150682.263469536
haldia,382411,WEST BENGAL,100644486,1.653040128,372.60037240816047,3.5269476955213346,36402262.842849866
hubli dharwad,1119578,KARNATAKA,70511891,13.648089088,228.02313793477455,3.407349500566513,51311638.73412542
hyderabad,7053177,TELANGANA,38968605,146.145558528,606.770443008026,3.408072065087948,184717191.63163972
imphal,258332,MANIPUR,3447069,1.230867712,42.52805498563327,3.4071839234294115,36384331.8766944
indore,2995123,MADHYA PRADESH,84567635,30.7926016,330.35816858922755,3.3255437015268967,56711242.1156079
itanagar,110478,ARUNACHAL PRADESH,1697242,0.812397952,65.82473313862998,3.5774349297945576,35522242.54629571
jabalpur,1291012,MADHYA PRADESH,84567635,0.114681584,130.55077502031784,3.479756382094548,34843232.25574673
jaipur,3596643,RAJASTHAN,80579763,18.50411008,474.901337528655,3.428997630355178,18858431.448858317
jalandhar,1199256,PUNJAB,31255959,7.416397824,276.7601265241134,3.340818262159571,28158305.892771028
jalgaon,713144,MAHARASHTRA,126536129,4.971464192,81.39923616949795,3.4106905450855014,61834937.2596443
jalpaiguri,488734,WEST BENGAL,100644486,1.938399744,16.654750009766058,3.161014224945995,57492786.05167984
jammu,1006416,JAMMU AND KASHMIR,18119323,3.736332288,205.77122178614005,3.5417565470721173,25459541.12198915
jamshedpur,1617730,JHARKHAND,39247441,4.647351296,166.40696099688984,3.425790698913569,27099092.91807217
jhansi,736260,UTTAR PRADESH,232192037,1.92704896,207.50732008871708,3.547659510150561,26097500.0
jodhpur,1105474,RAJASTHAN,80579763,4.987193344,292.2269756269055,3.5235355650774345,34649311.87177204
kanpur,3463756,UTTAR PRADESH,232192037,18.485172224,299.83164768493384,3.405907497922227,70080000.0
kochi,897318,KERALA,42361297,7.29564928,78.60358366876018,3.1954088979514594,40515000.00000001
kohima,112729,NAGALAND,2079321,0.09769848,13.62225988312041,3.577078426492648,37532936.18126273
kolhapur,614060,MAHARASHTRA,126536129,3.962580736,77.3860596869923,3.4490839486381546,4501666.666666667
kolkata,6560623,WEST BENGAL,100644486,54.483714048,219.80851726738618,3.280875007822312,67895845.60286781
korba,492230,CHHATTISGARH,29680526,1.864763648,386.175103939261,3.5467122490120806,19445978.171885166
kota,1283752,RAJASTHAN,80579763,5.714211328,692.0633768297031,3.4994430476930454,9420754.64144251
kurnool,440969,ANDHRA PRADESH,53387780,2.62636288,69.69198116802635,3.3129055867738098,45821798.75205544
lucknow,3728327,UTTAR PRADESH,232192037,20.306829312,357.7940784111298,3.424278480813513,118990000.0
