city,year,vehicle,gpscount,gpsspeed,correction_factor,new_total_count,city_population,state_population,city_consump
bhopal,2021,car,2783.6709755224874,14.60808210778941,23.466306323432185,65322.47581525799,1798218,72626809,50726201.504864775
bhubaneswar,2021,car,3052.2560426939776,15.280436955257066,7.645840341166275,23337.062382798147,843402,41974218,23051857.70143793
chandigarh,2021,car,3162.6453120588253,16.279694620483866,91.91199708768448,290685.0467113297,961587,1055450,133115002.39354835
chennai,2021,car,4067.429245575347,13.913110667142911,68.3915003762201,278177.58877901494,4646732,72147030,235904472.21678108
coimbatore,2021,car,2663.7468785475808,14.090135889337304,23.689539420689528,63102.93668609159,1050721,72147030,53342818.77071636
erode,2021,car,2486.9373188909763,12.164861602991488,3.607981500869248,8972.823840380008,157101,72147030,7975675.913680522
faridabad,2021,car,3132.2914630398705,12.134390889726609,27.579428710954847,86386.80910684056,1414050,25351462,82494457.22700667
gangtok,2021,car,2871.000418280424,16.194395659857523,2.3766439430149697,6823.345754499615,100286,610577,4239963.125289477
guwahati,2021,car,2832.132892746444,12.875922748294256,9.58579642123894,27148.24934776195,957352,31205576,20778498.344655037
hubli dharwad,2021,car,2377.923994160637,12.367758379092914,23.01017092219941,54716.43754563539,943788,61095297,45849863.9006706
hyderabad,2021,car,2368.8185270353056,9.094421615832015,53.469560537375465,126659.68563337086,6731790,84580777,150025691.4902507
imphal,2021,car,2347.594510581349,14.346456471461646,5.21350131031279,12239.187056998975,268243,2855794,8425938.44564738
indore,2021,car,3307.0027160347813,15.337663736073136,21.86156590937441,72296.25783907455,1964086,72626809,55405196.81645042
jaipur,2021,car,3007.668317994779,13.979811880577072,39.225474932791286,117977.21821365472,3046163,68548437,95689121.21445684
kanpur,2021,car,2696.6583570243324,12.944990176124422,29.53490166192235,79645.53939051475,2765348,199812341,67931250.6887166
kochi,2021,car,2823.350055586784,16.45009891452941,23.2710775303739,65702.39803894551,602046,33406061,35799838.66833002
kohima,2021,car,2248.6351598173515,14.125031033223422,2.6446693244025647,5946.896428942008,115283,1978502,3166595.148189805
kolkata,2021,car,2976.86389684727,13.030405851001865,38.739927564947926,115323.49173457186,4496694,91276115,70457042.32778919
lucknow,2021,car,2648.2518072277608,13.591469566708833,31.011767577706586,82126.96953298873,2817105,199812341,69202670.32266355
madurai,2021,car,2558.785251422999,11.471670321920612,21.823594957670917,55841.89291071766,1017865,72147030,51674791.14632259
mangaluru,2021,car,3743.212418673667,15.22192550427231,8.05278487328969,30143.28434260542,488968,61095297,23754398.50028089
meerut,2021,car,2731.895892234452,12.643406573184182,13.637926842575355,37257.39631982558,1305429,199812341,32068088.593305662
mumbai,2021,car,5570.909361757353,13.92014048780822,119.99292165038848,668469.6905667656,12442373,112374333,498109384.1477256
mysuru,2021,car,2995.981678529356,13.612428780765317,17.849294249497326,53476.15854617337,893062,61095297,43385560.26868396
patna,2021,car,2765.9330936938964,10.895810821866602,13.995771380957166,38711.36723436335,1728128,84580777,38513322.33828802
pune,2021,car,3415.323930298616,14.05797885253306,49.27217409081852,168280.43527021192,3124458,112374333,125082397.8814519
ranchi,2021,car,2501.088955452967,12.817403071856305,13.689056882276102,34237.548978828185,1073427,32988134,24810058.64312794
rourkela,2021,car,2529.145115466664,11.539993102061723,2.679663882917344,6777.258820572834,272721,41974218,7454008.508627979
shilong,2021,car,2009.0804260944756,13.064743735819444,3.944794487065725,7925.409388929144,143229,2966889,6120263.071266602
shivamogga,2021,car,2536.0112405274363,12.54179157246543,7.427994364420248,18837.4772027442,322650,61095297,15674556.772867816
surat,2021,car,2656.4349576641584,14.531264045446406,106.27612738126206,282315.6199407536,4467797,60439692,209492844.2453113
tiruchirappalli,2021,car,2564.3863936336406,12.531898219177275,19.176404109261348,49175.709776610034,847387,72147030,43019994.05138094
tiruppur,2021,car,2449.8888168016147,11.561163363659558,10.0095450935834,24522.272586041443,444352,72147030,22558784.11719701
vadodara,2021,car,3723.340019040897,12.205243979932938,26.80435068281612,99801.71158173546,1670806,60439692,78343286.66278517
varanashi,2021,car,2436.6986459231584,12.526494266393549,13.977834713850305,34059.77092017675,1198491,199812341,29441138.174714595
vijaywada,2021,car,3954.658222144792,15.23864273542269,6.833225714838419,27023.072256956977,1034358,84580777,23051859.04469283
vishakhapatnam,2021,car,2845.0306084208155,13.99716184964134,15.516858087469265,44145.93620537213,1728128,84580777,38513322.33828802
