R2,RMSE,RRMSE,MAE,MSE,city,year,vehicle,direction,variable,temporal (%),spatial (%)
0.82,4.26,0.95,1.88,18.19,delhi,2021,car,F,COUNT,45.9,54.1
0.71,6.69,0.29,4.66,44.77,delhi,2021,car,F,MEAN,34.12,65.88
0.45,6.82,1.59,2.05,46.52,delhi,2021,truck,F,COUNT,44.17,55.83
0.65,7.24,0.33,4.89,52.44,delhi,2021,truck,F,MEAN,33.95,66.05
0.61,3.29,1.09,1.33,10.86,bengaluru,2021,car,F,COUNT,47.45,52.55
0.69,6.29,0.26,4.4,39.51,bengaluru,2021,car,F,MEAN,33.58,66.42
0.62,1.76,0.67,0.98,3.1,bengaluru,2021,truck,F,COUNT,39.17,60.83
0.68,6.42,0.25,4.48,41.18,bengaluru,2021,truck,F,MEAN,35.16,64.84
0.71,1.82,0.74,0.98,3.31,ahmedabad,2021,car,F,COUNT,48.01,51.99
0.67,6.86,0.24,4.75,47.03,ahmedabad,2021,car,F,MEAN,30.74,69.26
0.5,2.21,0.91,0.98,4.89,ahmedabad,2021,truck,F,COUNT,40.3,59.7
0.67,6.81,0.24,4.66,46.38,ahmedabad,2021,truck,F,MEAN,32.58,67.42
0.24,0.75,0.41,0.44,0.56,aizawl,2021,car,F,COUNT,42.06,57.94
0.55,6.65,0.34,4.63,44.21,aizawl,2021,car,F,MEAN,40.41,59.59
0.5,0.69,0.37,0.45,0.47,aizawl,2021,truck,F,COUNT,66.87,33.13
0.73,4.44,0.19,2.99,19.72,aizawl,2021,truck,F,MEAN,38.91,61.09
0.85,2.85,0.8,1.42,8.11,bhopal,2021,car,F,COUNT,59.13,40.87
0.72,7.08,0.25,4.99,50.15,bhopal,2021,car,F,MEAN,28.89,71.11
0.83,2.25,0.81,1.1,5.08,bhopal,2021,truck,F,COUNT,59.15,40.85
0.73,7.08,0.26,4.94,50.19,bhopal,2021,truck,F,MEAN,33.43,66.57
0.79,2.5,0.7,1.35,6.23,bhubaneswar,2021,car,F,COUNT,57.8,42.2
0.7,7.19,0.24,5.06,51.68,bhubaneswar,2021,car,F,MEAN,36.27,63.73
0.7,1.83,0.66,1.02,3.34,bhubaneswar,2021,truck,F,COUNT,39.24,60.76
0.72,6.79,0.22,4.8,46.12,bhubaneswar,2021,truck,F,MEAN,34.9,65.1
0.63,2.18,0.75,1.2,4.76,chandigarh,2021,car,F,COUNT,57.37,42.63
0.68,7.44,0.24,5.28,55.39,chandigarh,2021,car,F,MEAN,37.17,62.83
0.57,1.92,0.79,0.92,3.68,chandigarh,2021,truck,F,COUNT,58.01,41.99
0.64,7.51,0.24,5.26,56.34,chandigarh,2021,truck,F,MEAN,35.3,64.7
0.93,5.09,0.61,2.29,25.87,chennai,2021,car,F,COUNT,61.43,38.57
0.72,6.52,0.24,4.52,42.56,chennai,2021,car,F,MEAN,37.68,62.32
0.7,2.02,0.67,1.15,4.09,chennai,2021,truck,F,COUNT,38.03,61.97
0.71,6.55,0.24,4.56,42.94,chennai,2021,truck,F,MEAN,34.91,65.09
0.38,1.0,0.61,0.63,1.0,coimbatore,2021,car,F,COUNT,58.65,41.35
0.69,7.18,0.23,5.03,51.51,coimbatore,2021,car,F,MEAN,41.25,58.75
0.46,1.28,0.61,0.78,1.63,coimbatore,2021,truck,F,COUNT,52.16,47.84
0.72,6.36,0.22,4.44,40.43,coimbatore,2021,truck,F,MEAN,37.61,62.39
0.44,0.97,0.65,0.61,0.95,erode,2021,car,F,COUNT,48.84,51.16
0.75,7.03,0.22,4.98,49.48,erode,2021,car,F,MEAN,34.2,65.8
0.57,1.41,0.6,0.87,1.99,erode,2021,truck,F,COUNT,49.05,50.95
0.76,6.67,0.21,4.7,44.52,erode,2021,truck,F,MEAN,28.17,71.83
0.82,2.39,0.67,1.3,5.71,faridabad,2021,car,F,COUNT,48.95,51.05
0.73,6.49,0.26,4.49,42.11,faridabad,2021,car,F,MEAN,30.1,69.9
0.57,4.65,1.24,1.51,21.58,faridabad,2021,truck,F,COUNT,36.37,63.63
0.69,6.91,0.29,4.59,47.71,faridabad,2021,truck,F,MEAN,32.17,67.83
0.44,1.12,0.55,0.71,1.26,gangtok,2021,car,F,COUNT,72.25,27.75
0.47,5.07,0.22,3.58,25.7,gangtok,2021,car,F,MEAN,51.88,48.12
0.24,0.9,0.48,0.61,0.8,gangtok,2021,truck,F,COUNT,60.37,39.63
0.45,5.48,0.23,3.88,30.08,gangtok,2021,truck,F,MEAN,53.52,46.48
0.83,2.58,0.72,1.4,6.65,guwahati,2021,car,F,COUNT,53.81,46.19
0.68,6.93,0.26,4.86,48.06,guwahati,2021,car,F,MEAN,43.79,56.21
0.73,2.25,0.65,1.29,5.07,guwahati,2021,truck,F,COUNT,48.15,51.85
0.73,6.36,0.25,4.45,40.41,guwahati,2021,truck,F,MEAN,37.38,62.62
0.51,1.22,0.62,0.76,1.48,hubli dharwad,2021,car,F,COUNT,49.96,50.04
0.75,7.67,0.22,5.48,58.9,hubli dharwad,2021,car,F,MEAN,28.6,71.4
0.55,1.54,0.62,0.91,2.37,hubli dharwad,2021,truck,F,COUNT,36.1,63.9
0.76,6.98,0.21,4.89,48.74,hubli dharwad,2021,truck,F,MEAN,24.08,75.92
0.72,1.96,0.82,0.97,3.83,hyderabad,2021,car,F,COUNT,54.54,45.46
0.67,6.9,0.25,4.8,47.57,hyderabad,2021,car,F,MEAN,41.23,58.77
0.49,1.26,0.62,0.76,1.59,hyderabad,2021,truck,F,COUNT,52.81,47.19
0.63,6.86,0.26,4.78,47.05,hyderabad,2021,truck,F,MEAN,41.72,58.28
0.28,0.91,0.51,0.61,0.82,imphal,2021,car,F,COUNT,54.42,45.58
0.7,7.33,0.23,5.24,53.66,imphal,2021,car,F,MEAN,41.27,58.73
0.35,0.96,0.53,0.63,0.92,imphal,2021,truck,F,COUNT,61.14,38.86
0.7,7.09,0.22,5.13,50.23,imphal,2021,truck,F,MEAN,46.81,53.19
0.8,2.86,0.67,1.62,8.16,indore,2021,car,F,COUNT,54.53,45.47
0.72,6.74,0.25,4.71,45.45,indore,2021,car,F,MEAN,37.93,62.07
0.68,2.34,0.77,1.16,5.46,indore,2021,truck,F,COUNT,45.88,54.12
0.69,6.91,0.25,4.81,47.81,indore,2021,truck,F,MEAN,36.73,63.27
0.77,2.21,0.7,1.21,4.87,jaipur,2021,car,F,COUNT,55.95,44.05
0.69,7.28,0.25,5.14,53.04,jaipur,2021,car,F,MEAN,33.92,66.08
0.69,2.68,0.84,1.24,7.17,jaipur,2021,truck,F,COUNT,48.01,51.99
0.68,7.33,0.25,5.15,53.68,jaipur,2021,truck,F,MEAN,34.26,65.74
0.63,1.98,0.75,1.11,3.91,kanpur,2021,car,F,COUNT,44.14,55.86
0.64,6.7,0.27,4.7,44.9,kanpur,2021,car,F,MEAN,34.68,65.32
0.61,2.09,0.82,1.01,4.35,kanpur,2021,truck,F,COUNT,32.51,67.49
0.63,6.93,0.27,4.83,48.05,kanpur,2021,truck,F,MEAN,35.8,64.2
0.76,1.81,0.64,1.08,3.28,kochi,2021,car,F,COUNT,58.07,41.93
0.65,7.23,0.25,5.07,52.28,kochi,2021,car,F,MEAN,44.42,55.58
0.39,0.96,0.53,0.62,0.91,kochi,2021,truck,F,COUNT,49.58,50.42
0.65,7.82,0.24,5.66,61.18,kochi,2021,truck,F,MEAN,45.42,54.58
