Unnamed: 0,0,city,year,vehicle,direction,variable
mean_variable_annual,0.376411679749664,delhi,2021,car,F,COUNT
month,0.1484866482864674,delhi,2021,car,F,COUNT
day,0.0137054790514468,delhi,2021,car,F,COUNT
hour,0.0838390392439425,delhi,2021,car,F,COUNT
day_of_week,0.0262604925185954,delhi,2021,car,F,COUNT
week_of_year,0.1680959196339892,delhi,2021,car,F,COUNT
quarter,0.0132598564478152,delhi,2021,car,F,COUNT
part_of_day,0.005397453464038,delhi,2021,car,F,COUNT
FUNC_CLASS,0.1090116854561927,delhi,2021,car,F,COUNT
SPEED_CAT,0.0235994735428732,delhi,2021,car,F,COUNT
LANE_CAT,0.0319322726049752,delhi,2021,car,F,COUNT
mean_variable_annual,0.5854415269282869,delhi,2021,car,F,MEAN
month,0.0287142570150121,delhi,2021,car,F,MEAN
day,0.0130745238588102,delhi,2021,car,F,MEAN
hour,0.2052352899344215,delhi,2021,car,F,MEAN
day_of_week,0.0170478618639287,delhi,2021,car,F,MEAN
week_of_year,0.0625587304843331,delhi,2021,car,F,MEAN
quarter,0.008077065494241,delhi,2021,car,F,MEAN
part_of_day,0.0064733949163054,delhi,2021,car,F,MEAN
FUNC_CLASS,0.0320118350567998,delhi,2021,car,F,MEAN
SPEED_CAT,0.0262378624636366,delhi,2021,car,F,MEAN
LANE_CAT,0.0151276519842243,delhi,2021,car,F,MEAN
mean_variable_annual,0.3664810788720785,delhi,2021,truck,F,COUNT
month,0.0473487013344605,delhi,2021,truck,F,COUNT
day,0.0150987358950275,delhi,2021,truck,F,COUNT
hour,0.0989040547831351,delhi,2021,truck,F,COUNT
day_of_week,0.0239136885953239,delhi,2021,truck,F,COUNT
week_of_year,0.2351777787670464,delhi,2021,truck,F,COUNT
quarter,0.0164096674779009,delhi,2021,truck,F,COUNT
part_of_day,0.0048571706476271,delhi,2021,truck,F,COUNT
FUNC_CLASS,0.1100183959939603,delhi,2021,truck,F,COUNT
SPEED_CAT,0.0387323707382562,delhi,2021,truck,F,COUNT
LANE_CAT,0.0430583568951832,delhi,2021,truck,F,COUNT
mean_variable_annual,0.5737372091116181,delhi,2021,truck,F,MEAN
month,0.0193054502928621,delhi,2021,truck,F,MEAN
day,0.0115184686503113,delhi,2021,truck,F,MEAN
hour,0.1965945694143726,delhi,2021,truck,F,MEAN
day_of_week,0.0138473494903388,delhi,2021,truck,F,MEAN
week_of_year,0.0774936176078701,delhi,2021,truck,F,MEAN
quarter,0.0068629243350712,delhi,2021,truck,F,MEAN
part_of_day,0.013857901652999,delhi,2021,truck,F,MEAN
FUNC_CLASS,0.0335794874130709,delhi,2021,truck,F,MEAN
SPEED_CAT,0.0307809092074767,delhi,2021,truck,F,MEAN
LANE_CAT,0.0224221128240089,delhi,2021,truck,F,MEAN
mean_variable_annual,0.4299805604643238,bengaluru,2021,car,F,COUNT
month,0.0951145333319366,bengaluru,2021,car,F,COUNT
day,0.020466628057253,bengaluru,2021,car,F,COUNT
hour,0.1412981024081427,bengaluru,2021,car,F,COUNT
day_of_week,0.0448737305425098,bengaluru,2021,car,F,COUNT
week_of_year,0.1579931165379365,bengaluru,2021,car,F,COUNT
quarter,0.0079543227397584,bengaluru,2021,car,F,COUNT
part_of_day,0.0067623517311085,bengaluru,2021,car,F,COUNT
FUNC_CLASS,0.0493843226371274,bengaluru,2021,car,F,COUNT
SPEED_CAT,0.02576534071012,bengaluru,2021,car,F,COUNT
LANE_CAT,0.0204069908397829,bengaluru,2021,car,F,COUNT
mean_variable_annual,0.5952524264010619,bengaluru,2021,car,F,MEAN
month,0.0469565010699646,bengaluru,2021,car,F,MEAN
day,0.0100946556139368,bengaluru,2021,car,F,MEAN
hour,0.1873064515514963,bengaluru,2021,car,F,MEAN
day_of_week,0.0113839313285567,bengaluru,2021,car,F,MEAN
week_of_year,0.0441075975432424,bengaluru,2021,car,F,MEAN
quarter,0.0150206474038782,bengaluru,2021,car,F,MEAN
part_of_day,0.0209359240858907,bengaluru,2021,car,F,MEAN
FUNC_CLASS,0.0300325074031012,bengaluru,2021,car,F,MEAN
SPEED_CAT,0.0245793303413021,bengaluru,2021,car,F,MEAN
LANE_CAT,0.0143300272575687,bengaluru,2021,car,F,MEAN
mean_variable_annual,0.5764074750526008,bengaluru,2021,truck,F,COUNT
month,0.0610249508103079,bengaluru,2021,truck,F,COUNT
day,0.0070190858832319,bengaluru,2021,truck,F,COUNT
hour,0.1743921659531888,bengaluru,2021,truck,F,COUNT
day_of_week,0.0448718444999038,bengaluru,2021,truck,F,COUNT
week_of_year,0.0891755127742362,bengaluru,2021,truck,F,COUNT
quarter,0.0082805874563203,bengaluru,2021,truck,F,COUNT
part_of_day,0.006893728014494,bengaluru,2021,truck,F,COUNT
FUNC_CLASS,0.0175793389342161,bengaluru,2021,truck,F,COUNT
SPEED_CAT,0.0052219577925962,bengaluru,2021,truck,F,COUNT
LANE_CAT,0.0091333528289036,bengaluru,2021,truck,F,COUNT
mean_variable_annual,0.6321542980083339,bengaluru,2021,truck,F,MEAN
month,0.0249836234243838,bengaluru,2021,truck,F,MEAN
day,0.0058564533384047,bengaluru,2021,truck,F,MEAN
hour,0.2159293957120416,bengaluru,2021,truck,F,MEAN
day_of_week,0.0179648097577686,bengaluru,2021,truck,F,MEAN
week_of_year,0.0608975999911638,bengaluru,2021,truck,F,MEAN
quarter,0.0065640096857255,bengaluru,2021,truck,F,MEAN
part_of_day,0.0193894437080926,bengaluru,2021,truck,F,MEAN
FUNC_CLASS,0.0068338637460746,bengaluru,2021,truck,F,MEAN
SPEED_CAT,0.0061982072846078,bengaluru,2021,truck,F,MEAN
LANE_CAT,0.0032282953434027,bengaluru,2021,truck,F,MEAN
mean_variable_annual,0.4666086965383141,ahmedabad,2021,car,F,COUNT
month,0.0898027178257054,ahmedabad,2021,car,F,COUNT
day,0.0208305502059236,ahmedabad,2021,car,F,COUNT
hour,0.0646818023270123,ahmedabad,2021,car,F,COUNT
day_of_week,0.0341770941241963,ahmedabad,2021,car,F,COUNT
week_of_year,0.2364340319126607,ahmedabad,2021,car,F,COUNT
quarter,0.0287470767221162,ahmedabad,2021,car,F,COUNT
part_of_day,0.0053957244236414,ahmedabad,2021,car,F,COUNT
FUNC_CLASS,0.0332995230243534,ahmedabad,2021,car,F,COUNT
SPEED_CAT,0.007007306717778,ahmedabad,2021,car,F,COUNT
LANE_CAT,0.0130154761782984,ahmedabad,2021,car,F,COUNT
mean_variable_annual,0.6751544895679931,ahmedabad,2021,car,F,MEAN
month,0.0229156147758829,ahmedabad,2021,car,F,MEAN
day,0.0053021982758108,ahmedabad,2021,car,F,MEAN
hour,0.1919960158814277,ahmedabad,2021,car,F,MEAN
day_of_week,0.0126797201099712,ahmedabad,2021,car,F,MEAN
week_of_year,0.0560737287698909,ahmedabad,2021,car,F,MEAN
quarter,0.0014563523861748,ahmedabad,2021,car,F,MEAN
part_of_day,0.0170257737396203,ahmedabad,2021,car,F,MEAN
FUNC_CLASS,0.0077572400243599,ahmedabad,2021,car,F,MEAN
SPEED_CAT,0.0063250118440704,ahmedabad,2021,car,F,MEAN
LANE_CAT,0.0033138546247975,ahmedabad,2021,car,F,MEAN
mean_variable_annual,0.5581339111072419,ahmedabad,2021,truck,F,COUNT
month,0.0432600554014115,ahmedabad,2021,truck,F,COUNT
day,0.0124218257907669,ahmedabad,2021,truck,F,COUNT
hour,0.1113848197887286,ahmedabad,2021,truck,F,COUNT
day_of_week,0.0447653087893414,ahmedabad,2021,truck,F,COUNT
week_of_year,0.1761822475364818,ahmedabad,2021,truck,F,COUNT
quarter,0.0014856568281269,ahmedabad,2021,truck,F,COUNT
part_of_day,0.0135058686917587,ahmedabad,2021,truck,F,COUNT
FUNC_CLASS,0.0272666035174514,ahmedabad,2021,truck,F,COUNT
SPEED_CAT,0.006222538584331,ahmedabad,2021,truck,F,COUNT
LANE_CAT,0.0053711639643596,ahmedabad,2021,truck,F,COUNT
mean_variable_annual,0.6558028690685961,ahmedabad,2021,truck,F,MEAN
month,0.0254148520105941,ahmedabad,2021,truck,F,MEAN
day,0.0081537573424101,ahmedabad,2021,truck,F,MEAN
hour,0.1824136607814377,ahmedabad,2021,truck,F,MEAN
day_of_week,0.0143874399662152,ahmedabad,2021,truck,F,MEAN
week_of_year,0.0784638930947032,ahmedabad,2021,truck,F,MEAN
quarter,0.0004700694871124,ahmedabad,2021,truck,F,MEAN
part_of_day,0.0164770741494263,ahmedabad,2021,truck,F,MEAN
FUNC_CLASS,0.0110904689987283,ahmedabad,2021,truck,F,MEAN
SPEED_CAT,0.0038556540115604,ahmedabad,2021,truck,F,MEAN
LANE_CAT,0.0034702610892158,ahmedabad,2021,truck,F,MEAN
mean_variable_annual,0.5008588247779067,aizawl,2021,car,F,COUNT
month,0.0498407076323434,aizawl,2021,car,F,COUNT
day,0.0964951858495423,aizawl,2021,car,F,COUNT
hour,0.1051304061728997,aizawl,2021,car,F,COUNT
day_of_week,0.0651435483107728,aizawl,2021,car,F,COUNT
week_of_year,0.1038650924979627,aizawl,2021,car,F,COUNT
quarter,0.000172985640439,aizawl,2021,car,F,COUNT
part_of_day,0.0,aizawl,2021,car,F,COUNT
FUNC_CLASS,0.0494349037549068,aizawl,2021,car,F,COUNT
SPEED_CAT,0.0238782105626288,aizawl,2021,car,F,COUNT
LANE_CAT,0.0051801348005974,aizawl,2021,car,F,COUNT
mean_variable_annual,0.5236352133114248,aizawl,2021,car,F,MEAN
month,0.0468487788230977,aizawl,2021,car,F,MEAN
day,0.0848786993394836,aizawl,2021,car,F,MEAN
hour,0.1178408595020325,aizawl,2021,car,F,MEAN
day_of_week,0.0570401034744044,aizawl,2021,car,F,MEAN
week_of_year,0.0975073874602498,aizawl,2021,car,F,MEAN
quarter,0.0,aizawl,2021,car,F,MEAN
part_of_day,0.0,aizawl,2021,car,F,MEAN
FUNC_CLASS,0.042051402236438,aizawl,2021,car,F,MEAN
SPEED_CAT,0.021524394141133,aizawl,2021,car,F,MEAN
LANE_CAT,0.0086731617117358,aizawl,2021,car,F,MEAN
mean_variable_annual,0.2859379574226223,aizawl,2021,truck,F,COUNT
month,0.0430251118291039,aizawl,2021,truck,F,COUNT
day,0.0979191596918495,aizawl,2021,truck,F,COUNT
hour,0.2134180846831443,aizawl,2021,truck,F,COUNT
day_of_week,0.0685325695769592,aizawl,2021,truck,F,COUNT
week_of_year,0.24542985543589,aizawl,2021,truck,F,COUNT
quarter,0.0,aizawl,2021,truck,F,COUNT
part_of_day,0.0003853119969495,aizawl,2021,truck,F,COUNT
FUNC_CLASS,0.0225587709479247,aizawl,2021,truck,F,COUNT
SPEED_CAT,0.0223839588348213,aizawl,2021,truck,F,COUNT
LANE_CAT,0.0004092195807349,aizawl,2021,truck,F,COUNT
mean_variable_annual,0.588277833913765,aizawl,2021,truck,F,MEAN
month,0.049997439349036,aizawl,2021,truck,F,MEAN
day,0.0646387868285754,aizawl,2021,truck,F,MEAN
